text,assistant
"No, thank you.","Thank you. So it's a [ITEM_SIZE] [ITEM_NAME] and a [ITEM_SIZE] [ITEM_NAME]. That's $38. And you can come and pick that up in half an hour's time."
"Sorry.","No problem. Is there anything else I can assist you with?"
"Yes. Sorry. You're having trouble hearing me.","Yeah, I am. Sorry. Is that pickup or delivery?"
"Pickup.","Please pick up. Can I get your phone number first, please?"
"Yes.","Thank you. Can I confirm that's [PERSON_NAME]?"
"It is, yes.","Thank you. And what would you like?"
"So I'll start off. First of all, we've got two that are gluten free. So one is a gluten free town special.","Okay."
"And the other one is gluten free. Half Hawaiian, half margarita.","Okay."
"And then the rest are going to be normal pizzas. So one large margarita.","Okay."
"One large Aussie, one large Hawaiian and one large half spaghetti, half Aussie.","Pizza, half Aussie. Anything else?"
"No, that's it. Thank you.","Okay, I'll repeat your order for you. You've got a [ITEM_SIZE] gluten free town special. You've got a [ITEM_SIZE] gluten free half [ITEM_NAME] and half [ITEM_NAME]. A [ITEM_SIZE] [ITEM_NAME]. A [ITEM_SIZE] Aussie, a [ITEM_SIZE] [ITEM_NAME] and a [ITEM_SIZE] half spaghetti and half Aussie. That's correct. Yeah. Thank you. That's 126 50. And you can come and pick that up in 20 minutes."
"No worries. Thank you so much. See you then.","You're very welcome."
"Bye. Can I just tell you. Sorry. The gluten free ones are also. Just because we've got Celiac's disease.","If. Let me put that down in the notes."
"[LOCATION].","[LOCATION]. Yes, we do. Would you like to place an order?"
"Yeah, can I place an order over phone?","Of course you can. Can I get your phone number first please?"
"Sure. [PHONE_NUMBER] thank you.","Is it [PERSON_NAME] [PERSON_NAME]?"
"Yeah, that's me.","And it's [LOCATION] [LOCATION] [LOCATION] [LOCATION]. [LOCATION]."
"Yeah, that's the one.","Thank you. And what would you like?"
"Sorry, can I please get. Do you guys do half and half pizzas?","Yes, we do. But the smallest we do in half and half is a medium."
"Sorry, what was that last part?","The smallest we do in half and half is a medium."
"Yeah, that's okay. Could I please get a large half Aussie, half barbecue meat lovers pizza and then also just a garlic bread. And what drinks do you guys have? Like soft drink?","We've got blood orange, Chinotto, Coke, Coke No Sugar, Fanta, Sprite, and Lift."
"Is it normal sprite or no sugar sprite?","It's normal Sprite."
"Could I please get a 1.25 liter bottle of Sprite?","Would you like anything else?"
"No, that's all. Thank you.","Okay, so that's a [ITEM_SIZE] half [ITEM_NAME] and half [ITEM_NAME]. A serving of garlic bread and a 1.25 liter bottle of Sprite. That's $39.80. And would you like to pay by cash or card?"
"Can I pay by cash when they get here?","Yeah, of course you can. That's $38.90 and it should be delivered to you in about an hour."
"[PHONE_NUMBER] [PHONE_NUMBER].","Did you say [PHONE_NUMBER]? Thank you. Is that for [PERSON_NAME]?"
"Can I get one large Southwest chicken pizza and that's all.","Okay, one [ITEM_SIZE] [ITEM_NAME] pizza. It's $26. It should be ready for you to pick up in 20 minutes."
"Yes. [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER]? Yes.","Okay, let's have a look. And that for. I've got a name on here. [PERSON_NAME] or [PERSON_NAME]."
"Yes, that's fine. Yes.","Okay. That's fine. Welcome. Let's begin. What would you like to order, please?"
"Can I get one large country special?","One [ITEM_SIZE] [ITEM_NAME], done. What else?"
"Yes, one large Aussie with pineapple.","One [ITEM_SIZE] [ITEM_NAME] with [ITEM_INGREDIENT], yeah. Anything else?"
"Yes, and I wanted one of the chicken pizzas.","Which one?"
"I can't think. What are they called again?","There's a chicken barbecue pizza, chicken satay pizza, chicken Southwest pizza, which you've already got one, then you have. I believe you've got a chicken mayo pizza. Then you've got a chicken buffalo pizza."
"I think it's chicken southwest, please.","Southwest? Yeah, that's fine. We can add southwest chicken. That's a spicy category. One with jalapenos in it."
"Yeah, I think that's the one.","Okay. I love that. I'll tell you what. You know the [ITEM_NAME] pizza, the one you just ordered, that one. And the southwest chicken, they go hand in hand. They complement each other so nicely. You will love it. But do you want me to add? I need to hear from you. Do you want me to order?"
"Yes, if you order that one. But I'll get that in a medium, please.","In a [ITEM_SIZE] size instead of a large? Yeah."
"I'll still get one whole medium of the chicken, please.","Okay. Can I just confirm something. We do have a deal going on of two large pizzas for 41.50. So you've already got a [ITEM_NAME], large category, [ITEM_NAME] in large category. You've already made one deal. So if you add one more pizza, then you got to complement another large pizza to seal the deal, isn't it?"
"Okay, yes. All right. We'll get a large half country special and half chicken southwest chicken.","Okay. Right. So it's just a large third half and half pizza. That doesn't entail the deal. You know what I'm saying?"
"Yes, but can I still get the Aussie with pineapple as well?","Yeah, that one you're already getting. That one you're already getting. Okay, so let me just recap that for you. So it's a large half and half. Half southwest chicken and half [ITEM_NAME]. Or which one?"
"I'll get one large country special and half of that and half southwest chicken.","Okay, now I get it. Okay, that's fine."
"That's still a good thing. Yeah. And plus an Aussie with pineapple.","Yes. That one's already on the order as well. So I'll read the order back to you. Exactly. That's right. So I'm going to repeat this back to you. So I've got a large [ITEM_NAME] pizza with [ITEM_INGREDIENT] added to it. Yes. And then the other pizza I have is a large one which is half and half. Half southwest chicken and half [ITEM_NAME]. All good."
"Yes. That's cool.","Wonderful. So that's meant to be 41.50, but since we added [ITEM_INGREDIENT] to the [ITEM_NAME] pizza, there's an extra charge for that. So it's 42.50. All right."
"Okay. Yes, that's fine.","Thank you. No problem. Any garlic bread or any desserts or drinks?"
"No, thank you. That's fine. Thanks.","Okay, no problem. That's all going to be ready for you to pick up at Warren Pond in about 20 minutes. Okay?"
"[PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER].","Okay. Just a moment, please. Is it for [PERSON_NAME]?"
"Yes, please.","All right. What would you like to order?"
"Can I please get a main serve of the Penne Matriciana?","Okay."
"And another main serve of the Gnocchi Matriciana, please.","All right."
"That's all. Thank you.","All right, one [ITEM_SIZE] [ITEM_NAME] with Penne and one [ITEM_SIZE] [ITEM_NAME] with Gnocchi. That would be 38 dollars and 90 cents. And you can come pick it up in 20 minutes."
"Thank you very much. See you then.","Thank you. Have a good day."
"Yes, it's [PHONE_NUMBER] [PHONE_NUMBER]. [PHONE_NUMBER] yes.","Let's have a look."
"That's another name, [PERSON_NAME].","Yes, that's right."
"Just a different address. That one is correct. It's just not where we are at the moment.","Okay, let me have your current delivery address please."
"Yes, because I've called the one in [LOCATION], haven't I?","That is correct."
"So we're [LOCATION] [LOCATION]. [LOCATION] [LOCATION] [LOCATION] [LOCATION]. [LOCATION] [LOCATION] [LOCATION] in [LOCATION]. We're just in the estuary there, off [LOCATION] [LOCATION].","That's fine. [LOCATION] [LOCATION], [LOCATION] [LOCATION], [LOCATION]. Yeah."
"Delivery times are however mentioning around 1 hour. You're going to be right for that.","That's okay. That's fine. Thank you."
"May we please have a large Hawaiian?","Okay, one [ITEM_SIZE] [ITEM_NAME] pizza coming up. What else?"
"Can we get extra roasted capsicum on that?","The [ITEM_INGREDIENT] on that one? Yeah."
"So a Hawaiian with roasted capsicum and hot salami as well.","One second please."
"No worries. All right. Hot salami added as well?","Yes, thank you. What else would you like to get?"
"And then may we also get a garlic bread?","Okay, garlic bread. Done. What else?"
"1.25, Coke Zero or Diet Coke?","Yeah, we got Coke Zero, 1.25 I believe."
"Zero would be great. Thank you.","Wonderful. Can I tell you what we have ordered so far?"
"Yes, thank you.","We have got a [ITEM_SIZE] [ITEM_NAME] pizza with added [ITEM_INGREDIENT] and [ITEM_INGREDIENT] to it. And then we have a serving of a garlic bread alongside and a Coke, no sugar. 1.25 liter bottle."
"Yes, that's lovely. Thank you.","Wonderful. That all totals to 41.80. And did you want to pay this over the phone now or will it be cash on delivery?"
"Can we pay now over the phone, please?","You certainly can. Give me one second. Thank you."
"You're welcome. Awesome. Can I have the long card number now, please?","[CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER]."
"No, [CREDIT_CARD_NUMBER].","See, there you go. I couldn't hear that. [CREDIT_CARD_NUMBER]. One second please."
"I love you.","That's wonderful. What's the expiry, please?"
"It's [CREDIT_CARD_EXPIRATION].","Thank you very much. And the security code on that one, please?"
"Is it [CREDIT_CARD_CVV] [CREDIT_CARD_CVV] [CREDIT_CARD_CVV]?","If you shine at an angle, you'll see it."
"Yeah, no, I'm just doing it from memory. I've just got the kids all over. I'm going to have to get up. [PERSON_NAME], hold on a second. Sorry. I'll just get up.","That's fine. Take your time. No rush."
"I can remember everything else. I get stuck with the numbers on the back of the card, same as me.","Okay, so what I've heard is [CREDIT_CARD_CVV] [CREDIT_CARD_CVV] [CREDIT_CARD_CVV]."
"Yes, correct.","I'm processing that right now. It's $41.80. I'm waiting for it to complete. No worries. Let it finish. I'll let you know."
"Thank you.","Beautiful. That's all done. [PERSON_NAME]. I'll see you in an hour's time. Thank you."
"Yeah. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]. Yes.","Okay. Is it for [PERSON_NAME]?"
"[PERSON_NAME]?","Yeah. One blue gum place, [LOCATION]."
"Yes.","All right. What would you like to order?"
"Can we have a garlic bread, please?","Okay."
"And a large Mexicana, please.","Okay. Anything else?"
"No, that's it. Thanks.","All right. A [ITEM_SIZE] [ITEM_NAME] and a garlic bread. Just. I'd like to let you know that if you order a main pasta. Well, right now your bill is $35. But if you order a main pasta, we have a special of one [ITEM_SIZE] pizza, one main pasta and a garlic bread in 45, 90, if you may like it."
"No, we're happy with. That's it.","Okay. A [ITEM_SIZE] [ITEM_NAME] and a garlic bread. $35 and. Would you like to pay by card or by cash?"
"Our card, please.","Okay. Can I have your card number?"
"Certainly. It's [CREDIT_CARD_NUMBER] okay. [CREDIT_CARD_NUMBER] okay.","Expiry, please."
"[CREDIT_CARD_CVV] EVV.","Okay. Just a moment while your payment is being processed. All right. All good. Thank you. It will be delivered to you in 45 minutes."
"Yeah.","Thank you. And the name, please?"
"[PERSON_NAME] [PERSON_NAME].","Thank you. And the address you'd like it delivered to, please?"
"[LOCATION] [LOCATION] [LOCATION], [LOCATION].","[LOCATION] [LOCATION], [LOCATION]."
"Yes. Thanks.","Thank you. And can I have your order, please?"
"Can I have a large Virginian, please? That's all. Thank you.","Okay, that's $31. Would you like to pay by cash or card?"
"Card. Thank you.","Card. I'll just take some details off you if I can, please. Can I start with the card number?"
"Yes. [CREDIT_CARD_NUMBER].","Okay."
"[CREDIT_CARD_NUMBER] thank you.","The expiry date, please?"
"[CREDIT_CARD_EXPIRATION].","And the CVV, please?"
"[CREDIT_CARD_CVV]. Yeah.","Thank you. Bear with me, please, while the payment is processing. No, I'm afraid the card is not going through. Can I just repeat the number, just in case I've put something down wrong? It's [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER]."
"Yeah.","[CREDIT_CARD_NUMBER], that's correct. And the expiry date is [CREDIT_CARD_EXPIRATION]?"
"Yeah, that's correct.","And the CVV is [CREDIT_CARD_CVV]?"
"Yeah.","Okay, let me just try again."
"It might be an [CREDIT_CARD_CVV]. It's just about worn out the CVV.","Okay. Would you like me to try [CREDIT_CARD_CVV]?"
"No, try [PHONE_NUMBER].","Okay."
"You. You.","Perfect. That's done. $31, and it should be delivered to you in 45 minutes."
"Is [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER].","Thank you. Is it for [PERSON_NAME]?"
"Yes.","[PHONE_NUMBER]. Sweeney, court heightened."
"Yes, thank you.","What would you like to order?"
"Can I order one large Aussie.","Okay."
"And one large. I think it's country special. Is it the one without. No anchovies. Is that the country special?","Country special, yeah, I have the country."
"Special with extra mushroom and garlic.","Okay. Anything else?"
"No, that's it.","All right, so I've got a [ITEM_SIZE] Aussie and a [ITEM_SIZE] country special with [ITEM_INGREDIENT] and [ITEM_INGREDIENT]. That will be ready delivered to you in approximately 45 minutes. And that would be 48 50. Would you like to pay now?"
"I will. Thank you.","All right. May I have the card number, please?"
"Yeah, just a second. Sorry.","Okay."
"Is [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER].","Sorry, just give me a moment. Okay. Right. So what you need to do is."
"It's all right, I can just pay cash. That's fine.","Sorry about that. Is that okay?"
"Yeah, that's okay. So how much is it?","It's 48 50."
"I want a family.","Family size. What flavors are we talking?"
"Four corners. Okay.","Family size. Four corner. Let's begin. What's the first quarter going to be, please?"
"Vegetarian with extra ham and salami.","Okay, one [ITEM_SIZE] [ITEM_NAME] with extra [ITEM_INGREDIENT] and [ITEM_INGREDIENT]. I've got hot salami. This is the only one we do. So we're good."
"What else can I get? An Aussie with extra egg.","An [ITEM_NAME] with an extra [ITEM_INGREDIENT]. Let me pull that one in for you. One moment. Okay, that is done. Wonderful. What's the next piece?"
"Barbecue chicken.","[ITEM_NAME]. Let's pull that one out. Yeah, done. Any changes to that one?"
"No, that's all right. And the tomato chicken with extra mushroom and onion.","Tomato chicken. Which one is that?"
"Just a tomato based chicken they do with.","Let's have a look. Tomato based. I'll select [ITEM_NAME] and add chicken to it. And I'll modify that sound better that way."
"No, the chef knows. Just the guy with the beards there. He knows how to do it. It's just tomato based chicken with extra mushroom and onion.","Okay, give me 1 second. Stay with me on the line here."
"Is there anything else you like to get, mate?","No, that's it. Thank you."
"Could we please have delivery?","Certainly. Can I get your phone number first, please?"
"My phone number? [PHONE_NUMBER].","Thank you. And the address you'd like it delivered to, please?"
"[LOCATION]. [LOCATION] [LOCATION] [LOCATION], [LOCATION]. [LOCATION] [LOCATION].","[LOCATION] [LOCATION] [LOCATION] [LOCATION] [LOCATION] [LOCATION]."
"That's right.","Thank you. And what would you like?"
"Could I please have two medium pizzas, one with half barbecued chicken and half Hawaiian.","Okay. One [ITEM_SIZE] pizza with half [ITEM_NAME] and half [ITEM_NAME]."
"And the other one half Mexican and half Aussie.","And the second [ITEM_SIZE] pizza with half [ITEM_NAME] and half [ITEM_NAME]."
"Yes, can I please have a carbonara?","What pasta would you like with that?"
"Just a normal, ordinary spaghetti.","Is that an entree size or a main size?"
"How much is it? Entree?","Entree is $19 and main is $23."
"And main's $23. Yeah, I'll take that because I can. Yeah, that'll be fine. And just a garlic bread, please.","A main size carbonara and a serving of garlic bread. Would you like anything else?"
"No, that's okay. That's it. Thanks.","Thank you. I'll repeat the order. You've got one [ITEM_SIZE] pizza with half [ITEM_NAME], another [ITEM_SIZE] pizza with half [ITEM_NAME], a main size carbonara, and a serving of garlic bread."
"Yes, that's right.","Thank you. Would you like to pay by cash or card?"
"Card.","Okay, I'll just take some details off you for the payment."
"Sure, I'll help. May I have your phone number, please?","Phone number? [PHONE_NUMBER]."
"Thank you. Is this for [PERSON_NAME]?","Yes."
"All right. What would you like to order?","Just a fettuccine meatballs."
"Okay. Anything else?","That's all, thanks."
"Right. And that's main size, right?","Yeah, the biggest size."
"Okay. All good. So that will be ready in 20 minutes and that will be $23.","Yeah, no worries. Thank you."
"Yeah, I think it's close on. Yeah. Yeah.","So it must be just close to you. So there's no expected time."
"Yeah, if possible.","Just a moment. Then I'll have to transfer your call. Give me a moment."
"Okay, beautiful. Thanks.","Thank you. Just a moment."
"Thank you for calling town and country, pizza and pasta. Where there's something for every pizza and pasta lover. It's time after time.","Why not head over town and conciliate? Hi. I was just wondering. I ordered a delivery for [PERSON_NAME] to [LOCATION] [LOCATION] [LOCATION]. I just want to show you what the expected time is for."
"[PERSON_NAME]? Yeah, [PERSON_NAME]. Is there a last name for that?","Sorry? Was there a last name for that?"
"Might be [PERSON_NAME]. [PERSON_NAME]. [PERSON_NAME] for [LOCATION] [LOCATION] [LOCATION]. Delivery?","Yeah, it's on its way. It should be there. It's on its way."
"Yes.","Thank you. Is that for [PERSON_NAME]?"
"Yeah.","Thank you. And could you give me the address you'd like it delivered to please?"
"Yes. [LOCATION] [LOCATION] [LOCATION], [LOCATION].","Okay. Number [LOCATION] [LOCATION] [LOCATION], [LOCATION]. Thank you. And what would you like?"
"I want to get three large pizzas. Is there a deal for three large pizzas?","Yeah, we've got a deal for two [ITEM_SIZE] pizzas at 41 50."
"Not three?","Not three I'm afraid no."
"So could I get the two for 41 deal and then get a pizza on top?","Yeah."
"Okay. Awesome. Thank you. So I'd just like to get one large country special with extra garlic.","Okay. One [ITEM_SIZE] [ITEM_NAME] with extra [ITEM_INGREDIENT]."
"And chili flakes.","And [ITEM_INGREDIENT]."
"Yes. For the next pizza it'll be just a large pepperoni.","Okay. One [ITEM_SIZE] [ITEM_NAME]."
"Yes. For the third pizza off of the deal it's just a large Aussie with extra egg, please.","With extra [ITEM_INGREDIENT]. Would you like anything else?"
"No, that's fine. Thank you.","Thank you. You've got a [ITEM_SIZE] country special with added [ITEM_INGREDIENT] and [ITEM_INGREDIENT], a [ITEM_SIZE] pepperoni, a [ITEM_SIZE] Aussie with extra [ITEM_INGREDIENT]."
"Yes. And can I please just pay on card?","Of course you can. That's 71 50. I'll take some card details off you if I can please. Starting with the card number please."
"Pad brother. 2 seconds. Sorry.","That's fine."
"How much is that? Sorry.","That's 71 50."
"Yeah, hi. I'm just like, to order. Thanks.","Certainly. Is that for pickup or delivery?"
"Pickup.","Pickup. Can I get your phone number first, please?"
"Yep. [PHONE_NUMBER].","Thank you. Is that for [PERSON_NAME]?"
"Yes.","Thank you. What would you like?"
"Just going to get a large bolognaise risotto and also a medium cappuccosa with anchovies?","With anchovies. Anything else?"
"No, that's it. Thanks. And how long would that be? Possibly?","Pickup is 20 minutes. I'll just repeat your order. It's a [ITEM_SIZE] bolognaise risotto and a [ITEM_SIZE] Capricciosa with added [ITEM_INGREDIENT]."
"So large bolognaise risotto.","$44. It will be ready for you to pick up in 20 minutes."
"Three adults, three children.","And your phone number, please?"
"[PHONE_NUMBER], that's [PHONE_NUMBER].","I'll just go check because we've got a lot of bookings. I'll be back."
"All right, thank you. I'll ring my daughter and let her know her birthday party is canceled. Okay, thanks.","Sorry about that."
"Yeah, hi. How are you going? I've just been transferred through to you guys. We've been ordering from you for a long time. And since I've been in [LOCATION] we've been ordering them from [LOCATION] for over ten years. And they're actually in the worst state I've ever seen. It looks like the pizza boxes have been shaken and turned upside down. Half the pizzas were stuck to the top of it. The toppings are all over the place. Like they're actually horrendous. When he's pulled them out to pass them to me. He's pulled them out sideways.","I'm very sorry to hear about the state of your pizzas. Can I confirm the name on the order, please?"
"The name? It was under [PERSON_NAME]. It was four now. [PERSON_NAME] [LOCATION] [PERSON_NAME]. Was it? It was. Yeah. It is exciting. I'm still finding time to see them. Could I grab the phone number that you took the order with?","Certainly, can you please provide the phone number associated with the order?"
"It would have been [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER]. [PHONE_NUMBER] [PHONE_NUMBER]. [PERSON_NAME]. [PERSON_NAME]. That's the one. Yes. Yeah. And are both of them in bad shape?","Thank you for confirming. Regarding the pizzas, is it the [ITEM_SIZE] half [ITEM_NAME] half [ITEM_NAME] that was in poor condition?"
"Well the Aussie with pineapple is not too bad but the other one is just all stuck to the top. The pizzas are pretty much all squashed into one. So was it the large half margarita half Mexicano? That was pretty. It's just a must. Yeah. I'll just be right back. I'll just be 1 second. I'm sorry. I think cold and stuffed up another pizza again. [PERSON_NAME] pin one of the other pizzas is in bad shape as well and it's not good.","I understand the frustration and we will address this promptly. Could you please confirm the delivery address for our records?"
"What's the address for now? [LOCATION] [LOCATION]. Print the ticket out. Tell them you send it.","Thank you for confirming the address. We will remake the affected pizzas and send them out to you as soon as possible."
"No, look, we've just waited an hour and a half. We're certainly not waiting for pizzas again. Obviously. We just wanted you guys to know that this is. In ten years, this is the worst I've ever seen a pizza in my life.","I completely understand your disappointment and the unacceptable wait time. Would a credit for future service be an acceptable resolution for you?"
"Well look, we would probably appreciate after so long service a credit in the future which would probably be acceptable.","I will speak to my manager right away about issuing a credit for you. Please hold for just a moment."
"[PHONE_NUMBER]","Thank you. Yeah, is this for [PERSON_NAME]?"
"Yeah.","It's just going to be through to a different address, though."
"No, not to that address. It's going to go to another address, please. So the address is [LOCATION] [LOCATION] [LOCATION] in [LOCATION].","All right. Sure. Thank you. [PERSON_NAME]. Every time is one R. What would you like to order?"
"So can I get a large half Hawaiian, half vegetarian?","Sure. One [ITEM_SIZE] [ITEM_NAME], half [ITEM_NAME]. A small cappuccosa, one small cappuccosa and a King country special with prawns."
"And two garlic bread.","Sure. Just a moment. Two servings of garlic bread. Yes, please. Any drinks?"
"No, thanks.","All right, so I have one [ITEM_SIZE] [ITEM_NAME], half [ITEM_NAME], one [ITEM_SIZE] cappuccosa, one [ITEM_SIZE] country special with extra prawns and two servings of garlic bread. Yes, that. Thanks. Total amount?"
"Dollar, 91. Would you like to pay now?","Yes, please. All right. Sure. May I have the card number, please?"
"[CREDIT_CARD_NUMBER]","Expiry, please. Expiry [CREDIT_CARD_EXPIRATION]. Code, please. Sorry. CVV code, please. At the back?"
"Can I get a large [LOCATION] chicken?","Yeah. Will that be a pickup or delivery?"
"Is it all right if I get it delivered?","Deliveries at the moment are 80 minutes. And the problem is, like, we close at nine, so I don't mind taking the order. It's up to you. If you want to wait, pick up is only 20 minutes."
"No, I'll pick it up. Pick it up.","Pick it up. Okay, let's do that. As you wish. Can I have your phone number so I can put it in the system, please?"
"[PHONE_NUMBER] Beautiful.","Okay, let's have a look. Right, so we are speaking to [PERSON_NAME], is it? Yep. [PERSON_NAME], what would you like to order, please?"
"A large [LOCATION] chicken, please.","Is that all? Any garlic bread or drinks?"
"And some garlic bread, please.","And a garlic bread. What about any drinks?"
"Yeah, I'll get a bottle of Coke.","A bottle of coke. Are we doing the standard bottle Coke, or is it the no sugar Coke?"
"Just standard.","Okay. And that'll be a 1.25 liter? Beautiful. That's all done. All right, so I've got a [ITEM_SIZE] [ITEM_NAME] pizza, a garlic bread on the side, and a 1.25 liter of Coke. The total comes to $37.80. It should be ready for pickup in the next 20 minutes, just before nine. Does that work for you?"
"[PHONE_NUMBER]","[PHONE_NUMBER] [PHONE_NUMBER]."
"Sorry.","[PHONE_NUMBER] or [PHONE_NUMBER]. Thank you. Is that for [PERSON_NAME] on?"
"Yeah.","Thank you. What would you like?"
"One gluten free pizza, half southwest chicken with no onion.","Okay."
"And half barbecue chicken, also with no onion. If it has it.","It doesn't have any onions. Would you like anything else?"
"Yeah, one large pizza, half country special.","Okay."
"And half southwest chicken.","Okay. Anything else?"
"That's it. Thanks.","Thank you. So you've got a [ITEM_SIZE] gluten free [ITEM_NAME] and [ITEM_NAME] with the [ITEM_INGREDIENT] removed. And you've got a [ITEM_SIZE] half and half [ITEM_NAME] and [ITEM_NAME]?"
"Yes.","Okay, that's $50, and it'd be ready for you to pick up in 20 minutes."
"Yes, just a moment. Can I please have your phone number?","[PHONE_NUMBER]. [PHONE_NUMBER] you."
"All right. Can I have your name?","[PERSON_NAME]. Yeah."
"What would you like to order?","Large wine."
"Okay.","Large cheese and garlic pizza."
"Okay.","Large country special."
"Okay.","Large half saute chicken and half barbecue."
"Okay. Barbecue chicken or barbecue meat lovers?","Whatever. It doesn't really matter. Either one."
"Let me tell you. Give me a moment. So on their barbecue chicken we have tomato sauce, base cheese, chicken, cheese and barbecue sauce on top. And on the meat lovers we have tomato sauce, base cheese, ham, bacon, onion and barbecue sauce. Which one would you like?","All the meat lovers. Totally."
"All right, got it. What else?","That's it."
"Let me repeat your order for you. So, it has a large Hawaiian, a large garlic and cheese pizza, a large country special and a large half sauteed chicken, half barbecue meat lovers, is that right?","That's right."
"All right. That would be $83 and you can come pick it up in 20 minutes.","All right. Thank you."
"It was for [PERSON_NAME].","So was it a [ITEM_SIZE] vegetarian and [ITEM_SIZE] half barbecue, half mixed pizza?"
"Correct. Yeah.","So what were you wanting to talk to me about?"
"So the vegetarian pizza was meant to come with sauce on it, but there was no sauce on it when I came home and had a look at it, which isn't really so much of an issue. It was a fair bit overcooked and there was not nearly as much topping on it as there usually is. Now, if there was some kind of way we can ameliorate that.","Yeah. Just one moment. I'll go speak with my boss. Thank you."
"Yes, no worries.","Hi. So I just spoke to my manager and they said that. Were you wanting us to remake it?"
"Just 1 second. The person I bought the pizza for said no.","Yeah. Do you want us to issue you a voucher for next time?"
"Um. That would be amazing. Thank you.","Yeah. I'll just have to write down your details and then they'll put it through at the end of the night."
"Yes, that'd be great.","Thank you. Yeah. So the name still being [PERSON_NAME] [PERSON_NAME], was it? And can I just grab your phone number?"
"[PHONE_NUMBER].","No worries. At the end of the night, they should issue you a voucher and it should come through to you."
"That would be incredible. Thank you so much. Sorry about that one.","No, don't worry. I come here all the time and it's always great. That's why it's not really that much of an issue."
"[PHONE_NUMBER]","Thank you. The name, please?"
"[PERSON_NAME]","Thank you. And your order, please?"
"Pardon?","Can I have your order, please?"
"We would get a large pizza with half Hawaiian and half margarita.","Okay. A [ITEM_SIZE] pizza with half [ITEM_NAME] and half [ITEM_NAME], anything else?"
"And a spaghetti bolognese.","Okay. Anything else?"
"And a garlic bread as well, please.","Okay. Would you like anything else?"
"That was all. Thank you.","Thank you. You've got a [ITEM_SIZE] half [ITEM_NAME], half [ITEM_NAME], a Spaghetti Bolognese, and a serving of garlic bread. That will be $40.519. It should be ready for you to pick up in 20 minutes."
"[PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Thank you. And your name, please?"
"[PERSON_NAME].","Thank you. And your order, please?"
"Can I please get a medium margarita? Mmhmm. With pineapple.","Okay. Would you like anything else?"
"Weird, isn't it? Can I please get a gluten free? That half [LOCATION] chicken and half vegetarian with ham? Another weird.","Like the ham on the vegetarian side? No, we've had stranger requests. Should I say. Anything else?"
"We've had worse? Yeah. That's also ham on the vegetarian, please.","Would you like anything else?"
"No, that's all.","Thank you. You've got a [ITEM_SIZE] [ITEM_NAME] with added [ITEM_INGREDIENT], and a [ITEM_SIZE] gluten free half vegetarian with [ITEM_INGREDIENT] and half [LOCATION] chicken. That will be $44, and you can pick it up in 20 minutes."
"Yes. So the half and half that's gluten free?","Yes. That's a [ITEM_SIZE] gluten free? Anything else I can assist you with?"
"[PHONE_NUMBER].","Thank you. Is that for [PERSON_NAME]?"
"Yes.","Thank you. What would you like?"
"And could I please get. Sorry, I'm not sure what it's called. Is it the garlic cheese? Yes. Could I just get. How much is family?","The [ITEM_SIZE] is $26."
"I'll just get a family, please. Okay.","Would you like anything else?"
"No, thank you.","Okay, that's one [ITEM_SIZE] garlic cheese. It's $26 and will be ready for you to pick up in 20 minutes."
"Yeah, I rang about 2:00 today and booked it, and then family members have called.","Sorry to hear that. I'm so sorry."
"Oh, no, that's okay. But we don't want to make anybody sick.","No, that's exactly right. Hopefully, everything goes well. Now, let me ask your name and phone number and I'll handle the cancellation for you."
"Yeah, it was [PERSON_NAME].","[PERSON_NAME], yeah."
"And the phone number.","Yes, please."
"Was [PHONE_NUMBER]? Yeah, it was four people.","Four people. That's fine. So for four people, [PERSON_NAME] booked a table today for the phone number [PHONE_NUMBER]. I'll get that cancelled for you. Consider it done."
"And it was at 7:30.","730. That's fine. I'll make sure to cancel it. Don't worry about it."
"[PHONE_NUMBER] thank you.","Is that for [PERSON_NAME]?"
"Yeah.","Thank you. And what would you like?"
"A king size Aussie, a small town special. And can I have barbecue sauce on that one, please?","Okay. Anything else?"
"A large. I don't know how to say it. Capricciosa or something? Yes. And can I get barbecue sauce on that one too, please?","Okay. Anything else?"
"And a king, but half and half barbecue chicken. And can I add pineapple on that base?","Okay. And the other half?"
"Hawaiian.","Okay. Anything else?"
"And can also get a garlic bread please.","Okay. Anything else?"
